,Country Name,Year,Renewables Value,Renewables Share,Non-Renewables Value,Non-Renewables Share,CO2 Emissions,Particulate Matter
301,Slovenia,2010,4842.175,0.347089771,10567.686,0.652910882,16459522,20.206
302,Slovenia,2011,3938.338,0.20371051,11062.659,0.796288675,16358580,21.088
303,Slovenia,2012,4426.02,0.326710524,10278.786,0.673290197,15760511,19.228
304,Slovenia,2013,5306.019,0.290403111,9811.269,0.709596159,15133322,18.454
305,Slovenia,2014,6770.49,0.400488255,9715.541,0.599512503,13568170,18.38
306,Slovenia,2015,4548.891,0.205703314,9638.066,0.794296686,13653307,18.008
307,Slovenia,2016,5245.66,0.227124551,10300.862,0.772875449,14464584,17.162
308,Slovenia,2017,4635.61,0.364002473,10761.271,0.635997527,14622025,17.53
309,Slovenia,2018,5332.113607,0.243161673,10109.85639,0.756838328,14526712,18.226
310,Slovenia,2019,5156.773554,0.389062282,10067.58045,0.610937718,14048142,14.426
311,Spain,2010,98882.106,0.371282255,192068.897,0.628717745,284282700,12.728
312,Spain,2011,87854.001,0.327589088,195423.993,0.672410912,285132260,13.094
313,Spain,2012,88403.515,0.381223388,198170.491,0.618776693,279384960,11.84
314,Spain,2013,113395.136,0.361096275,162003.862,0.638903725,253102700,11.224
315,Spain,2014,111826.439,0.398016411,156553.56,0.601983632,255459100,10.314
316,Spain,2015,97776.458,0.282814643,171974.548,0.717185403,272164670,11.114
317,Spain,2016,105361.214,0.25879822,158982.782,0.74120178,261227660,10.044
318,Spain,2017,88213.458,0.347474074,176704.538,0.652525926,275053200,10.21
319,Spain,2018,103674.6792,0.366245417,160152.3208,0.633754583,270052300,10.08
320,Spain,2019,100570.3967,0.507687443,163225.6032,0.492312557,251825150,9.344
321,Sweden,2010,81503.036,0.55769774,63760.558,0.44230226,53287344,7.74
322,Sweden,2011,83419.213,0.593525514,63545.787,0.40647442,49405180,7.972
323,Sweden,2012,97469.801,0.587210801,65359.201,0.412789137,46918584,7.092
324,Sweden,2013,82110.734,0.554241826,67428.266,0.445758104,45351340,6.79
325,Sweden,2014,84938.736,0.571326267,65018.266,0.428673665,43477930,6.46
326,Sweden,2015,101667.226,0.622321032,57377.777,0.377679037,43741732,6.532
327,Sweden,2016,88471.466,0.55030524,64059.097,0.44969476,43415984,6.024
328,Sweden,2017,94168.45,0.57402817,66357.546,0.42597183,42704240,6.072
329,Sweden,2018,90348.38276,0.576878778,69328.61724,0.423121221,42094908,6.234
330,Sweden,2019,98074.46163,0.624546937,67570.53838,0.375453064,40982492,6.086
331,Switzerland,2010,38796.51,0.555498862,27334.328,0.444500799,45045708,12.716
332,Switzerland,2011,35354.459,0.503033311,27604.397,0.496966689,40985230,12.96
333,Switzerland,2012,41755.87,0.538206038,26403.145,0.461793786,42253030,11.7
334,Switzerland,2013,41706.266,0.536223745,26808.725,0.46377608,43187724,11.344
335,Switzerland,2014,41856.425,0.556377851,28129.517,0.443622317,39233630,10.476
336,Switzerland,2015,42255.9,0.552085408,23861.75,0.447914799,38731820,10.782
337,Switzerland,2016,39423.574,0.669028399,22269.681,0.330971601,39185340,9.956
338,Switzerland,2017,40241.822,0.642972587,21408.501,0.357027413,38178644,9.854
339,Switzerland,2018,41232.02537,0.53030095,26218.76065,0.46969905,36873816,9.974
340,Switzerland,2019,44658.71007,0.572796401,27080.47893,0.427203599,36733064,8.938
